Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
4.0,243.12340246831906, No ,9.0,,46.0
3.0,91.0,No,5.0,1.0,69.0
1.0,69.0,No,4.0,,37.0
2.0,53.0,No,9.0,3.0,31.0
8.0,,Yes,23.458558266338233,7.0,90.0
1.0,62.0,No,,1.0,
8.0,243.12340246831906,yes,7.0,,44.0
7.0,70.0,Nu,23.458558266338233,9.0,62.0
8.0,45.0,No,,7.0,41.0
6.0,50.0,No,5.0,,
9.0,52.0,No,4.0,invalid,45.0
3.0,51.0,No,7.0,invalld,34.0
4.0,93.0,No,6.0,1.0,72.0
6.0,41.0,Yes,8.0,4.0,29.0
8.0,92.0,,7.0,2.0,83.0
5.0,74.0,Nz,9.0,invalid,61.0
3.0,94.0,No,5.0,6.0,75.0
6.0,75.0,No,7.0,,63.0
4.0,56.0,Yes,7.0,3.0,36.0
9.0,67.0,,23.458558266338233,6.0,62.0
3.0,67.0,Ygs,8.0,2.0,49.0
4.0,,Yes,8.0,,46.0
7.0,77.0,Yes,6.0,invalid,69.0
7.0,46.0,Yes,6.0,1.0,35.0
4.0,54.0,No,8.0,9.0,38.0
6.0,,No,8.0,,62.0
3.0,,YES,,,30.0
6.0,63.0,No,23.458558266338233,0.0,52.0
,42.0,No,7.0,invalid,16.0
8.0,69.0,,6.0,invalid,
2.0,45.0,No,5.0,invalid,
7.0,97.0,No,4.0,6.0,86.0
9.0,41.0,Yes,5.0,5.0,38.0
30.91532574884556,,Yes,9.0,9.0,30.0
8.0,80.0,Yes,4.0,5.0,71.0
7.0,57.0,Yes,7.0,invalid,49.0
6.0,90.0,Yes,9.0,3.0,79.0
6.0,83.0,yes,6.0,3.0,69.0
6.0,70.0,No,4.0,2.0,56.0
,52.0,Yes,,invalid,47.0
2.0,65.0,No,9.0,9.0,41.0
1.0,,No,7.0,2.0,58.0
,51.0,Yes,4.0,0.0,38.0
8.0,57.0,YES,8.0,,52.0
3.0,48.0,Yes,9.0,7.0,25.0
1.0,88.0,,7.0,invalid,62.0
9.0,60.0,Yes,9.0,3.0,60.0
1.0,87.0,Yes,4.0,4.0,63.0
3.0,88.0,Yes,8.0,invalid,72.0
8.0,,No,6.0,invalid,84.0
3.0,95.0,Yes,23.458558266338233,,74.0
4.0,79.0,Yes,,6.0,247.73254528643105
8.0,82.0,No,8.0,ynvalid,77.0
1.0,63.0,NO,6.0,0.0,36.0
,73.0,No,9.0,5.0,65.0
1.0,47.0,Yes,8.0,8.0,23.0
1.0,83.0, Yes ,6.0,6.0,60.0
,243.12340246831906,No,4.0,,83.0
4.0,72.0,Yes,8.0,9.0,56.0
1.0,,No,8.0,9.0,247.73254528643105
7.0,52.0,No,5.0,8.0,43.0
5.0,93.0,No,7.0,1.0,76.0
5.0,,No,8.0,6.0,247.73254528643105
1.0,88.0,No,6.0,8.0,63.0
6.0,53.0,Yes,,1.0,39.0
9.0,53.0,,4.0,,48.0
9.0,,Yep,7.0,5.0,53.0
8.0,88.0,Yes,5.0,8.0,84.0
5.0,77.0,No,4.0,,63.0
1.0,97.0,Yes,8.0,7.0,73.0
9.0,99.0,No,9.0,4.0,99.0
1.0,78.0,No,4.0,6.0,52.0
8.0,65.0,Yes,4.0,2.0,58.0
5.0,65.0,Yes,5.0,7.0,50.0
,,,6.0,1.0,18.0
7.0,71.0,Yes,4.0,7.0,62.0
7.0,96.0,res,6.0,1.0,
9.0,54.0,,7.0,6.0,53.0
7.0,91.0,Yey,,1.0,87.0
3.0,60.0,No,5.0,6.0,37.0
1.0,243.12340246831906,No,23.458558266338233,,31.0
8.0,69.0,Yes,4.0,5.0,63.0
3.0,,No,9.0,9.0,81.0
8.0,97.0,No,9.0,6.0,95.0
8.0,52.0,Yes,6.0,3.0,45.0
5.0,63.0,Yes,4.0,0.0,48.0
1.0,69.0,No,9.0,,47.0
,41.0,,5.0,3.0,31.0
5.0,58.0,No,8.0,2.0,43.0
8.0,86.0,Yes,7.0,3.0,82.0
9.0,83.0,No,7.0,5.0,80.0
7.0,86.0,No,6.0,4.0,247.73254528643105
7.0,64.0,Yes,9.0,1.0,57.0
1.0,89.0,No,7.0,1.0,64.0
4.0,53.0,,,,35.0
2.0,45.0,Yes,23.458558266338233,,24.0
2.0,51.0,No,4.0,,30.0
2.0,59.0,Yes,5.0,6.0,38.0
4.0,62.0,Yes,8.0,7.0,45.0
1.0,69.0,No,8.0,,44.0
,69.0,Yes,7.0,2.0,247.73254528643105
2.0,77.0,No,7.0,5.0,53.0
5.0,97.0,,5.0,3.0,84.0
3.0,69.0,Yes,4.0,4.0,47.0
8.0,80.0,No,8.0,2.0,247.73254528643105
,69.0,NO,9.0,,57.0
1.0,96.0,No,7.0,5.0,71.0
1.0,97.0,Yes,8.0,,74.0
3.0,75.0,no,,,54.0
9.0,,Yes,6.0,8.0,247.73254528643105
7.0,73.0,No,,9.0,
2.0,243.12340246831906,Yes,8.0,9.0,35.0
9.0,63.0,No,8.0,9.0,62.0
2.0,,Yes,5.0,9.0,30.0
3.0,65.0,No,8.0,3.0,47.0
2.0,47.0,,7.0,1.0,247.73254528643105
3.0,53.0,Yes,9.0,8.0,40.0
6.0,70.0,Yes,5.0,2.0,56.0
9.0,41.0,Yes,8.0,invalid,
9.0,87.0,No,4.0,invalid,86.0
7.0,243.12340246831906,Yes,8.0,0.0,38.0
3.0,40.0,No,4.0,7.0,17.0
4.0,94.0,Yes,23.458558266338233,3.0,75.0
6.0,59.0,No,8.0,5.0,
5.0,98.0,Yes,4.0,6.0,87.0
30.91532574884556,53.0,les,9.0,7.0,32.0
6.0,79.0,No,6.0,9.0,68.0
3.0,243.12340246831906,No,5.0,1.0,42.0
8.0,99.0,Yes,8.0,8.0,96.0
2.0,64.0,No,6.0,9.0,42.0
1.0,42.0,No,23.458558266338233,2.0,
9.0,44.0,No,4.0,0.0,41.0
3.0,77.0,Yes,5.0,1.0,54.0
1.0,93.0,No,6.0,7.0,67.0
7.0,243.12340246831906,Yes,6.0,9.0,57.0
5.0,79.0,No,8.0,5.0,65.0
5.0,77.0,io,4.0,0.0,
1.0,,Yes,23.458558266338233,8.0,56.0
9.0,43.0,No,8.0,invalid,39.0
7.0,46.0,No,8.0,9.0,38.0
8.0,69.0,No,8.0,invalid,65.0
9.0,69.0,No,5.0,6.0,68.0
6.0,95.0,No,,5.0,82.0
5.0,58.0,No,8.0,2.0,44.0
6.0,243.12340246831906,No,9.0,7.0,67.0
2.0,243.12340246831906,Yes,7.0,0.0,53.0
4.0,79.0,Yee,6.0,inlalid,61.0
3.0,72.0,qes,6.0,7.0,53.0
7.0,72.0,,4.0,2.0,61.0
9.0,53.0,Yes,6.0,9.0,49.0
5.0,77.0,,6.0,5.0,61.0
6.0,49.0,Yes,7.0,9.0,
2.0,96.0,Yps,6.0,1.0,76.0
3.0,67.0,No,,8.0,47.0
3.0,53.0,Yes,,invalid,
30.91532574884556,75.0,Nw,7.0,4.0,71.0
7.0,77.0,NO,5.0,2.0,69.0
8.0,55.0,Yes,23.458558266338233,9.0,53.0
9.0,99.0,Yes,8.0,8.0,100.0
6.0,60.0,No,9.0,,
,67.0,No,,6.0,48.0
1.0,72.0,Yes,5.0,9.0,45.0
,45.0,No,6.0,,40.0
7.0,80.0,Yeg,23.458558266338233,8.0,71.0
30.91532574884556,54.0,Yes,7.0,6.0,34.0
8.0,83.0,Yes,8.0,1.0,76.0
5.0,42.0,aes,,9.0,29.0
7.0,82.0,No,6.0,0.0,71.0
4.0,86.0, No ,7.0,9.0,69.0
5.0,74.0,Yks,7.0,9.0,58.0
8.0,53.0,Yes,23.458558266338233,3.0,43.0
1.0,41.0,No,5.0,invalid,
1.0,68.0,No,6.0,invalid,41.0
4.0,43.0,No,8.0,5.0,247.73254528643105
3.0,65.0,No,9.0,1.0,45.0
2.0,90.0,No,4.0,4.0,65.0
3.0,51.0,Yes,7.0,8.0,31.0
1.0,41.0,Yes,5.0,5.0,14.0
,56.0,Yes,8.0,5.0,33.0
6.0,74.0,,,6.0,60.0
,49.0,,,4.0,34.0
8.0,87.0,NO,8.0,invalid,82.0
2.0,61.0,Yes,8.0,2.0,40.0
4.0,80.0, Yes ,7.0,4.0,66.0
30.91532574884556,82.0,No,7.0,3.0,76.0
,60.0,,6.0,4.0,46.0
1.0,54.0,Yes,8.0,8.0,
,74.0,,7.0,4.0,57.0
1.0,87.0,No,,3.0,65.0
2.0,60.0,No,9.0,,38.0
5.0,60.0,Yes,4.0,0.0,46.0
8.0,60.0,,5.0,9.0,247.73254528643105
8.0,99.0,,9.0,3.0,97.0
3.0,83.0,Yes,6.0,3.0,
4.0,71.0,No,7.0,,55.0
6.0,94.0,Yes,5.0,3.0,79.0
3.0,44.0,Yes,6.0,6.0,26.0
2.0,78.0,Yes,8.0,0.0,55.0
6.0,48.0,Yes,5.0,6.0,37.0
5.0,243.12340246831906,No,9.0,1.0,78.0
5.0,57.0,Yes,6.0,7.0,
5.0,60.0,No,7.0,0.0,45.0
5.0,,No,7.0,,
3.0,,No,6.0,2.0,66.0
7.0,91.0,No,8.0,7.0,79.0
30.91532574884556,73.0,No,9.0,9.0,63.0
4.0,49.0,Yes,6.0,invalid,32.0
2.0,90.0,No,4.0,4.0,64.0
9.0,,Yen,6.0,4.0,78.0
1.0,96.0,YES,6.0,,69.0
4.0,,Yes,9.0,9.0,46.0
30.91532574884556,79.0,No,7.0,4.0,
6.0,63.0,No,8.0,8.0,51.0
4.0,95.0,No,6.0,0.0,
5.0,,,5.0,4.0,54.0
5.0,95.0,Yes,7.0,2.0,
9.0,72.0,NO,7.0,2.0,247.73254528643105
1.0,77.0,Nj,23.458558266338233,1.0,
2.0,83.0,Yes,9.0,2.0,61.0
6.0,96.0,Yes,5.0,,
5.0,,Yes,23.458558266338233,7.0,247.73254528643105
7.0,90.0,Yes,5.0,7.0,78.0
3.0,98.0,Yes,7.0,7.0,78.0
3.0,88.0,Yes,5.0,invalid,70.0
2.0,73.0,Yes,6.0,invalid,48.0
3.0,50.0,No,4.0,1.0,26.0
1.0,70.0,No,4.0,invalid,46.0
30.91532574884556,57.0,,,3.0,42.0
5.0,62.0,Yes,,4.0,
7.0,99.0,No,6.0,0.0,91.0
4.0,61.0,,8.0,3.0,47.0
,82.0,Yes,4.0,3.0,61.0
1.0,57.0,Yes,7.0,8.0,31.0
8.0,79.0,yes,6.0,8.0,71.0
3.0,86.0,Yex,6.0,,66.0
2.0,80.0,no,4.0,0.0,52.0
4.0,86.0,Yes,8.0,7.0,71.0
30.91532574884556,78.0,Yes,7.0,3.0,60.0
1.0,243.12340246831906,Yes,8.0,3.0,32.0
3.0,52.0,No,,invalid,33.0
2.0,84.0,No,,1.0,247.73254528643105
,40.0,Yes,6.0,0.0,
6.0,91.0,Yes,7.0,4.0,76.0
9.0,43.0,Yes,6.0,,40.0
8.0,63.0,Yes,5.0,9.0,60.0
3.0,75.0,No,5.0,8.0,54.0
30.91532574884556,75.0,No,23.458558266338233,invalid,59.0
7.0,84.0,Yes,4.0,7.0,74.0
30.91532574884556,41.0,fes,9.0,6.0,29.0
,67.0,No,4.0,1.0,61.0
,65.0,No,5.0,4.0,50.0
1.0,62.0,Yes,7.0,6.0,36.0
5.0,54.0,,8.0,2.0,41.0
4.0,75.0,Yes,4.0,iuvalid,60.0
6.0,66.0,no,8.0,5.0,56.0
3.0,45.0,No,8.0,9.0,23.0
5.0,74.0,No,5.0,5.0,63.0
2.0,78.0,Nu,9.0,3.0,247.73254528643105
6.0,77.0,,7.0,0.0,64.0
6.0,74.0,No,5.0,4.0,64.0
5.0,75.0,No,23.458558266338233,0.0,
6.0,49.0,Nf,5.0,,38.0
7.0,69.0,Yes,5.0,1.0,60.0
5.0,92.0,,5.0,8.0,247.73254528643105
1.0,80.0,No,4.0,invalid,57.0
8.0,77.0,yo,4.0,,69.0
,68.0,Yes,5.0,5.0,51.0
9.0,91.0,po,5.0,8.0,86.0
6.0,98.0,Yez,8.0,6.0,90.0
1.0,82.0,Yes,7.0,3.0,57.0
3.0,78.0,,8.0,2.0,
3.0,89.0,Yes,9.0,invalid,71.0
4.0,43.0, No ,7.0,invalid,30.0
6.0,44.0,hes,9.0,9.0,34.0
7.0,43.0,Yes,7.0,0.0,34.0
30.91532574884556,,No,,9.0,58.0
6.0,98.0,No,,0.0,85.0
1.0,,Yes,7.0,invalid,55.0
8.0,,yes,9.0,3.0,51.0
7.0,64.0,,7.0,8.0,53.0
30.91532574884556,53.0,Yes,4.0,9.0,51.0
3.0,50.0,No,7.0,0.0,31.0
2.0,68.0,Yes,5.0,3.0,44.0
1.0,73.0,Yes,6.0,2.0,48.0
3.0,61.0,No,,,41.0
5.0,53.0,,6.0,invalid,40.0
2.0,95.0,No,5.0,8.0,72.0
3.0,63.0,No,6.0,9.0,41.0
4.0,98.0,No,7.0,5.0,78.0
7.0,243.12340246831906,Yes,6.0,8.0,70.0
3.0,,No,8.0,,41.0
9.0,243.12340246831906,No,5.0,3.0,78.0
8.0,243.12340246831906,No,8.0,3.0,70.0
4.0,,Yes,6.0,9.0,61.0
1.0,55.0,Yes,8.0,invalid,33.0
1.0,97.0,Yes,4.0,5.0,71.0
1.0,77.0,Yes,6.0,9.0,51.0
1.0,98.0,No,9.0,,72.0
8.0,71.0,eo,8.0,,69.0
3.0,45.0,,7.0,4.0,21.0
6.0,,Yes,6.0,2.0,247.73254528643105
3.0,95.0,No,9.0,0.0,
5.0,47.0,Yes,4.0,5.0,30.0
7.0,69.0,Yzs,7.0,,59.0
2.0,66.0,Yes,6.0,,45.0
6.0,46.0,No,,8.0,39.0
6.0,66.0,No,6.0,1.0,53.0
3.0,64.0,Yes,6.0,invalid,43.0
6.0,95.0,No,5.0,9.0,85.0
,85.0,Yew,8.0,5.0,70.0
2.0,80.0,No,,0.0,56.0
9.0,54.0,Yes,4.0,0.0,52.0
30.91532574884556,64.0,,23.458558266338233,6.0,65.0
3.0,61.0,Yes,,invalid,39.0
8.0,57.0,No,5.0,3.0,48.0
9.0,51.0,No,8.0,3.0,47.0
3.0,62.0,No,8.0,1.0,
3.0,90.0,No,23.458558266338233,5.0,72.0
2.0,84.0,No,4.0,9.0,61.0
8.0,78.0, Yes ,6.0,1.0,74.0
,64.0,No,,7.0,38.0
,49.0,Yes,4.0,,42.0
7.0,69.0,No,7.0,invalid,247.73254528643105
7.0,49.0,No,6.0,6.0,35.0
3.0,,No,5.0,,52.0
1.0,85.0,Yes,,5.0,
30.91532574884556,52.0,No,8.0,2.0,32.0
9.0,93.0,Yes,7.0,9.0,95.0
5.0,68.0,No,5.0,6.0,53.0
1.0,77.0,Yeo,9.0,5.0,54.0
5.0,80.0,ues,9.0,,70.0
8.0,84.0,,6.0,9.0,78.0
8.0,48.0,Yes,4.0,8.0,42.0
5.0,52.0,No,6.0,2.0,33.0
9.0,76.0,No,9.0,2.0,
1.0,53.0,Yes,,3.0,26.0
4.0,76.0,No,7.0,,58.0
3.0,48.0,Yes,5.0,3.0,29.0
2.0,47.0,No,9.0,5.0,
8.0,78.0,No,7.0,0.0,70.0
,79.0,No,5.0,1.0,67.0
9.0,,,23.458558266338233,9.0,93.0
2.0,42.0,No,8.0,5.0,21.0
4.0,94.0,Yes,4.0,5.0,74.0
6.0,95.0,No,4.0,0.0,82.0
3.0,86.0,Yes,4.0,5.0,65.0
8.0,79.0,No,23.458558266338233,8.0,75.0
3.0,72.0,,9.0,7.0,55.0
2.0,71.0,wes,9.0,9.0,54.0
,46.0,Yes,23.458558266338233,4.0,26.0
6.0,58.0,No,4.0,,48.0
2.0,73.0,Yes,4.0,5.0,49.0
8.0,53.0,No,5.0,4.0,49.0
1.0,89.0,Yes,,5.0,64.0
7.0,86.0,Yes,6.0,9.0,81.0
2.0,85.0,Yes,23.458558266338233,2.0,247.73254528643105
6.0,243.12340246831906,,5.0,6.0,82.0
30.91532574884556,96.0,no,5.0,7.0,74.0
2.0,58.0,Nx,5.0,invalid,32.0
8.0,90.0,Nt,5.0,4.0,83.0
2.0,93.0,No,8.0,3.0,68.0
7.0,98.0,No,6.0,9.0,247.73254528643105
,65.0,NO,5.0,4.0,44.0
8.0,56.0,Yes,9.0,9.0,51.0
,93.0,Yes,7.0,7.0,
8.0,67.0,No,5.0,,62.0
,58.0,No,8.0,8.0,247.73254528643105
6.0,66.0,no,9.0,0.0,56.0
7.0,87.0,No,,6.0,79.0
5.0,91.0,No,4.0,4.0,74.0
,96.0,Yes,6.0,3.0,82.0
1.0,58.0,No,4.0,2.0,247.73254528643105
1.0,72.0,No,5.0,9.0,46.0
9.0,,No,8.0,6.0,
,46.0,MES,6.0,,35.0
30.91532574884556,68.0,Yes,9.0,4.0,56.0
3.0,94.0,Yes,5.0,1.0,
5.0,82.0,Yes,23.458558266338233,6.0,67.0
3.0,44.0,,,5.0,23.0
,69.0, Yes ,5.0,9.0,67.0
9.0,88.0,Yes,,6.0,86.0
,82.0,Yes,9.0,8.0,70.0
1.0,95.0,,7.0,1.0,68.0
7.0,97.0,,9.0,8.0,91.0
7.0,47.0,No,6.0,6.0,42.0
,81.0,Yes,8.0,1.0,62.0
8.0,51.0,Yes,23.458558266338233,9.0,44.0
6.0,,Yes,4.0,1.0,67.0
4.0,52.0,No,5.0,3.0,35.0
4.0,65.0,No,4.0,1.0,46.0
2.0,,No,6.0,0.0,31.0
2.0,81.0,No,4.0,5.0,59.0
4.0,243.12340246831906,NO,5.0,9.0,
5.0,91.0,Ni,4.0,4.0,74.0
8.0,88.0,,8.0,invalid,80.0
6.0,59.0,NO,9.0,0.0,49.0
30.91532574884556,55.0,Yes,7.0,8.0,39.0
7.0,76.0,Yes,7.0,7.0,67.0
30.91532574884556,42.0,No,,5.0,
2.0,66.0,Yer,7.0,invalid,47.0
,54.0,No,,3.0,41.0
2.0,97.0,Yes,6.0,,75.0
2.0,,Yes,5.0,3.0,53.0
8.0,84.0,No,8.0,1.0,81.0
2.0,61.0,Yes,5.0,6.0,37.0
9.0,79.0,No,6.0,,77.0
1.0,62.0,No,8.0,1.0,36.0
9.0,98.0,Yes,,8.0,95.0
1.0,88.0,eo,6.0,8.0,65.0
2.0,243.12340246831906,,7.0,invalid,
6.0,90.0,Yes,8.0,0.0,80.0
6.0,93.0,No,6.0,4.0,
1.0,96.0,No,6.0,,247.73254528643105
7.0,80.0,,8.0,invalid,74.0
30.91532574884556,62.0,,7.0,6.0,
2.0,243.12340246831906,No,9.0,7.0,64.0
8.0,99.0,Yes,7.0,9.0,97.0
9.0,48.0,No,6.0,invalid,42.0
6.0,63.0,Yes,5.0,1.0,48.0
5.0,60.0,No,9.0,2.0,46.0
9.0,80.0,Yes,9.0,9.0,79.0
9.0,85.0,Yes,6.0,invalid,83.0
1.0,94.0,,8.0,6.0,70.0
3.0,243.12340246831906,Yes,8.0,3.0,247.73254528643105
9.0,55.0,Yes,8.0,5.0,56.0
2.0,95.0,No,7.0,7.0,247.73254528643105
4.0,243.12340246831906,,4.0,invalid,76.0
4.0,64.0,No,8.0,6.0,49.0
2.0,65.0,Yes,8.0,1.0,43.0
3.0,88.0,No,9.0,1.0,
3.0,84.0,Yes,5.0,2.0,63.0
1.0,48.0,,,3.0,18.0
6.0,54.0,io,6.0,0.0,43.0
,78.0,No,6.0,4.0,72.0
3.0,72.0,Yes,6.0,6.0,57.0
5.0,40.0,Yes,23.458558266338233,9.0,25.0
1.0,44.0,po,,4.0,15.0
30.91532574884556,95.0,Yes,6.0,6.0,88.0
1.0,243.12340246831906,Yes,5.0,4.0,247.73254528643105
9.0,83.0,zo,8.0,9.0,81.0
,45.0,Yes,9.0,7.0,
7.0,67.0,YES,8.0,6.0,60.0
7.0,84.0,No,,0.0,73.0
5.0,65.0,Yes,8.0,0.0,52.0
5.0,67.0,no,8.0,4.0,53.0
,79.0,No,5.0,,65.0
1.0,54.0,Yes,4.0,8.0,30.0
8.0,45.0,Yes,7.0,,39.0
1.0,66.0,no,6.0,8.0,43.0
4.0,77.0,No,4.0,9.0,59.0
9.0,43.0,Yes,9.0,1.0,38.0
9.0,50.0,No,23.458558266338233,3.0,44.0
,60.0,Yes,23.458558266338233,2.0,44.0
4.0,69.0,No,23.458558266338233,5.0,53.0
3.0,57.0,No,6.0,3.0,37.0
3.0,243.12340246831906,No,4.0,8.0,52.0
5.0,42.0,Yes,7.0,8.0,30.0
1.0,51.0,No,,,247.73254528643105
5.0,66.0,co,6.0,8.0,51.0
6.0,92.0,No,9.0,2.0,82.0
7.0,69.0,,9.0,2.0,63.0
30.91532574884556,60.0,Yes,6.0,3.0,58.0
3.0,77.0,No,4.0,,
30.91532574884556,60.0,Yes,23.458558266338233,5.0,247.73254528643105
3.0,99.0,No,8.0,8.0,80.0
9.0,77.0,Nh,23.458558266338233,7.0,70.0
7.0,79.0,Yes,9.0,,
9.0,54.0,Yes,4.0,4.0,48.0
2.0,,No,7.0,8.0,36.0
30.91532574884556,,No,6.0,3.0,73.0
4.0,68.0,No,8.0,,
2.0,,Yes,6.0,7.0,63.0
9.0,77.0,wo,,3.0,74.0
9.0,99.0,Yes,8.0,6.0,
6.0,60.0,No,7.0,3.0,45.0
6.0,56.0,Yes,8.0,0.0,45.0
8.0,80.0,fes,5.0,9.0,74.0
6.0,90.0,Yes,9.0,8.0,81.0
1.0,57.0,No,8.0,3.0,247.73254528643105
4.0,96.0,No,7.0,invwlid,77.0
7.0,94.0,Yes,4.0,2.0,247.73254528643105
2.0,76.0,Yes,,8.0,58.0
9.0,99.0,Yes,5.0,7.0,99.0
8.0,243.12340246831906,No,6.0,9.0,69.0
8.0,51.0,No,5.0,6.0,47.0
,50.0,No,5.0,6.0,
4.0,87.0,Yes,6.0, invalid ,73.0
2.0,91.0,No,8.0,,71.0
3.0,88.0,No,5.0,3.0,68.0
6.0,59.0,No,9.0,5.0,47.0
5.0,48.0,Yeh,5.0,3.0,31.0
8.0,40.0,No,4.0,3.0,31.0
6.0,97.0,No,9.0,1.0,86.0
30.91532574884556,42.0,No,,6.0,27.0
1.0,,No,9.0,5.0,32.0
4.0,62.0,No,7.0,1.0,
,48.0,Yes,6.0,4.0,33.0
3.0,93.0,Yes,9.0,5.0,75.0
9.0,58.0,yes,9.0,4.0,
1.0,84.0,Yes,8.0,3.0,59.0
6.0,94.0,No,,8.0,87.0
30.91532574884556,85.0,,7.0,2.0,72.0
5.0,243.12340246831906,Yes,8.0,,78.0
5.0,58.0,Yts,8.0,invalid,46.0
5.0,62.0,qes,4.0,7.0,47.0
30.91532574884556,66.0,No,,8.0,58.0
8.0,66.0,No,8.0,invalid,63.0
2.0,78.0,No,7.0,2.0,56.0
6.0,75.0,Yes,7.0,0.0,
,51.0,Yes,23.458558266338233,0.0,23.0
4.0,94.0,Yes,8.0,2.0,73.0
3.0,66.0,,8.0,3.0,46.0
,85.0,No,9.0,1.0,80.0
,73.0,Yes,8.0,7.0,59.0
6.0,72.0,Yes,4.0,2.0,60.0
1.0,67.0,No,9.0,3.0,
,70.0,No,8.0,5.0,61.0
4.0,71.0,Yes,4.0,9.0,
8.0,89.0,yes,5.0,5.0,82.0
9.0,59.0,No,9.0,invalid,55.0
4.0,79.0,Yes,23.458558266338233,5.0,64.0
6.0,,Yes,8.0,3.0,61.0
,243.12340246831906,Ni,9.0,4.0,44.0
4.0,97.0,Yes,7.0,6.0,247.73254528643105
,70.0,No,9.0,6.0,64.0
1.0,77.0,Yes,7.0,lnvalid,53.0
8.0,61.0,No,8.0,9.0,55.0
6.0,84.0,Yes,,5.0,
,80.0,Yes,7.0,5.0,65.0
9.0,,Yes,9.0,3.0,
2.0,91.0,No,9.0,,70.0
,48.0,Yes,7.0,0.0,34.0
6.0,54.0,Yes,5.0,2.0,41.0
7.0,52.0,,5.0,2.0,43.0
,61.0,Yes,5.0,8.0,
9.0,55.0,,7.0,2.0,46.0
1.0,71.0,No,7.0,7.0,47.0
7.0,41.0,No,9.0,7.0,37.0
7.0,65.0,Yes,8.0,invalid,56.0
30.91532574884556,53.0,No,8.0,9.0,
9.0,,Yes,23.458558266338233,9.0,96.0
5.0,77.0,No,7.0,5.0,63.0
4.0,73.0,Yes,,,58.0
7.0,,No,23.458558266338233,,36.0
30.91532574884556,75.0,NO,5.0,9.0,
3.0,60.0,Yes,5.0,9.0,39.0
9.0,95.0,No,5.0,8.0,90.0
8.0,85.0,Yes,23.458558266338233,invalid,79.0
1.0,82.0,No,8.0,7.0,58.0
7.0,95.0,Yes,5.0,6.0,89.0
9.0,67.0,No,5.0,9.0,64.0
30.91532574884556,85.0, No ,7.0,2.0,78.0
8.0,83.0,Yes,9.0,6.0,79.0
6.0,,No,23.458558266338233,invalid,
4.0,45.0,Yes,23.458558266338233,,26.0
8.0,59.0,Yes,23.458558266338233,7.0,52.0
3.0,70.0,ho,5.0,1.0,49.0
9.0,,No,9.0,0.0,
2.0,83.0,No,7.0,,59.0
2.0,46.0,Yes,9.0,9.0,28.0
7.0,47.0,Yes,5.0,8.0,39.0
4.0,,No,4.0,4.0,31.0
8.0,41.0,Yes,5.0,1.0,33.0
30.91532574884556,56.0,xo,7.0,9.0,
7.0,91.0,,4.0,3.0,83.0
30.91532574884556,84.0,No,4.0,7.0,
8.0,76.0,Yes,4.0,invalid,71.0
4.0,81.0,Yes,6.0,4.0,62.0
2.0,83.0,No,7.0,3.0,58.0
6.0,56.0,Yes,,4.0,46.0
9.0,92.0,No,9.0,6.0,93.0
30.91532574884556,,No,,4.0,
7.0,74.0,Yes,23.458558266338233,7.0,68.0
9.0,99.0,ho,5.0,6.0,97.0
30.91532574884556,86.0,No,,6.0,82.0
3.0,78.0,,8.0,8.0,57.0
5.0,69.0,NO,9.0,7.0,55.0
8.0,45.0,no,4.0,7.0,
8.0,43.0,Yes,4.0,5.0,35.0
4.0,,Yes,9.0,6.0,72.0
1.0,76.0,No,9.0,7.0,51.0
1.0,74.0,Yes,,4.0,247.73254528643105
4.0,97.0,No,5.0,9.0,
6.0,96.0,,9.0,1.0,84.0
8.0,48.0,No,9.0,6.0,46.0
6.0,45.0,eo,7.0,9.0,34.0
9.0,52.0,Yes,9.0,2.0,55.0
9.0,98.0,Yes,6.0,9.0,95.0
2.0,61.0,NO,8.0,7.0,40.0
30.91532574884556,67.0,Yes,8.0,5.0,42.0
2.0,69.0,No,8.0,,45.0
5.0,91.0,Yes,9.0,1.0,80.0
4.0,75.0,,8.0,invalid,60.0
4.0,41.0,No,5.0,,21.0
9.0,243.12340246831906,No,6.0,6.0,95.0
8.0,75.0,Yes,,9.0,72.0
6.0,47.0,Yes,4.0,9.0,247.73254528643105
1.0,84.0,No,9.0,invalid,247.73254528643105
30.91532574884556,81.0,Yes,6.0,9.0,59.0
,89.0,Yes,5.0,,77.0
2.0,, Yes ,8.0,3.0,23.0
5.0,40.0,,5.0,3.0,26.0
5.0,,Yes,9.0,3.0,39.0
,89.0,Yes,8.0,8.0,79.0
6.0,54.0,Yes,,5.0,39.0
6.0,71.0,Yes,6.0,9.0,61.0
2.0,73.0,Yes,4.0,8.0,47.0
3.0,82.0,Yek,8.0,3.0,63.0
30.91532574884556,70.0,Yss,7.0,6.0,61.0
8.0,53.0,Yes,6.0,9.0,51.0
1.0,93.0,Yes,5.0,8.0,68.0
1.0,86.0,No,8.0,invalid,66.0
2.0,53.0,No,4.0,2.0,29.0
6.0,87.0,Yes,9.0,,78.0
9.0,94.0,Yes,7.0,5.0,94.0
,68.0,Yes,9.0,7.0,56.0
30.91532574884556,86.0,No,8.0,,68.0
8.0,58.0, ho ,,3.0,50.0
9.0,66.0,wes,4.0,7.0,62.0
5.0,48.0,Yes,6.0,5.0,247.73254528643105
30.91532574884556,76.0,Yes,7.0,1.0,73.0
30.91532574884556,76.0,Yes,8.0,,57.0
